team,rating
KC,1792.06
PHI,1676.56
BUF,1672.38
SF,1663.66
DAL,1645.58
BAL,1629.04
MIN,1573.70
CIN,1566.37
GB,1557.24
SEA,1556.45
NO,1551.99
MIA,1550.84
PIT,1546.70
TB,1523.58
LA,1506.02
CLE,1502.74
LAC,1499.06
NE,1489.00
DET,1480.38
TEN,1474.65
IND,1460.35
LV,1432.28
ATL,1421.02
DEN,1412.77
JAX,1404.04
WAS,1394.56
HOU,1365.26
ARI,1358.29
NYG,1334.43
CHI,1331.30
CAR,1319.12
NYJ,1308.59
